,order_id,customer_id,order_date,status,line_revenue,payment_type,payment_avg,vs_avg
0,5521,1863,2025-06-26,completed,4898.7,atm,4979.96,-81.26
1,4533,1870,2024-03-18,completed,1663.45,atm,4979.96,-3316.51
2,4532,269,2024-06-03,completed,8166.0,atm,4979.96,3186.04
3,17509,443,2024-11-08,completed,2903.05,atm,4979.96,-2076.91
4,17510,1533,2025-06-16,completed,791.35,atm,4979.96,-4188.61
5,4528,63,2025-09-24,completed,12632.75,atm,4979.96,7652.79
6,17513,1798,2024-02-16,completed,9561.4,atm,4979.96,4581.44
7,17514,1511,2025-12-25,completed,4470.0,atm,4979.96,-509.96
8,4523,1724,2024-10-09,completed,4470.0,atm,4979.96,-509.96
9,13198,2495,2024-01-07,completed,552.0,atm,4979.96,-4427.96
10,17515,2421,2025-04-09,completed,8416.35,atm,4979.96,3436.39
11,17518,953,2025-11-02,completed,4658.0,atm,4979.96,-321.96
12,13192,303,2024-10-20,completed,2124.8,atm,4979.96,-2855.16
13,8747,337,2024-04-24,completed,1526.4,atm,4979.96,-3453.56
14,8748,2062,2024-01-30,completed,13395.0,atm,4979.96,8415.04
15,8749,2449,2025-11-15,completed,2033.0,atm,4979.96,-2946.96
16,17524,929,2024-04-09,completed,1656.8,atm,4979.96,-3323.16
17,4513,765,2025-01-29,completed,6786.0,atm,4979.96,1806.04
18,8750,3,2025-12-15,completed,5944.0,atm,4979.96,964.04
19,8745,1679,2025-01-09,completed,5717.65,atm,4979.96,737.69
20,17505,1663,2025-04-17,completed,6696.65,atm,4979.96,1716.69
21,4537,1594,2024-03-28,completed,12006.8,atm,4979.96,7026.84
22,13200,1330,2025-11-26,completed,2656.0,atm,4979.96,-2323.96
23,4568,150,2025-04-08,completed,5724.25,atm,4979.96,744.29
24,4566,1492,2025-05-15,completed,12569.05,atm,4979.96,7589.09
25,8724,1290,2025-07-10,completed,2875.7,atm,4979.96,-2104.26
26,17474,501,2025-10-03,completed,2033.0,atm,4979.96,-2946.96
27,8726,2239,2025-03-25,completed,6276.6,atm,4979.96,1296.64
28,4561,1795,2025-01-24,completed,496.8,atm,4979.96,-4483.16
29,4558,1623,2024-01-15,completed,2088.0,atm,4979.96,-2891.96
30,4556,1777,2024-03-16,completed,4357.4,atm,4979.96,-622.56
31,4555,2001,2025-08-01,completed,13111.5,atm,4979.96,8131.54
32,17485,1323,2024-06-04,completed,7887.0,atm,4979.96,2907.04
33,8732,2314,2024-01-08,completed,1558.0,atm,4979.96,-3421.96
34,4551,755,2024-11-27,completed,943.2,atm,4979.96,-4036.76
35,17489,1947,2025-10-06,completed,2320.0,atm,4979.96,-2659.96
36,13214,642,2025-03-14,completed,6406.0,atm,4979.96,1426.04
37,4546,858,2024-05-30,completed,5115.7,atm,4979.96,135.74
38,17496,2222,2025-05-29,completed,9301.0,atm,4979.96,4321.04
39,8737,2407,2024-01-26,completed,1847.75,atm,4979.96,-3132.21
40,17499,2344,2025-01-18,completed,3125.0,atm,4979.96,-1854.96
41,17500,1719,2024-03-23,completed,7990.35,atm,4979.96,3010.39
42,8751,1989,2024-12-30,completed,7795.0,atm,4979.96,2815.04
43,17530,1925,2025-12-20,completed,13553.65,atm,4979.96,8573.69
44,13189,104,2024-01-19,completed,3757.5,atm,4979.96,-1222.46
45,4505,821,2024-10-27,completed,4992.1,atm,4979.96,12.14
46,13174,1569,2024-07-15,completed,2846.8,atm,4979.96,-2133.16
47,4467,2110,2024-09-23,completed,2873.0,atm,4979.96,-2106.96
48,13169,859,2025-07-10,completed,3125.0,atm,4979.96,-1854.96
49,8776,1113,2024-04-14,completed,8366.7,atm,4979.96,3386.74
50,17565,529,2024-06-26,completed,5136.8,atm,4979.96,156.84
51,8777,1817,2024-06-07,completed,2420.8,atm,4979.96,-2559.16
52,4458,1261,2025-05-22,completed,4249.8,atm,4979.96,-730.16
53,4457,933,2025-09-23,completed,9825.85,atm,4979.96,4845.89
54,4456,342,2024-11-23,completed,4343.4,atm,4979.96,-636.56
55,4453,766,2024-11-10,completed,7576.7,atm,4979.96,2596.74
56,17575,1937,2024-10-02,completed,4627.7,atm,4979.96,-352.26
57,8784,69,2025-01-19,completed,4933.3,atm,4979.96,-46.66
58,17577,1486,2024-11-15,completed,4619.0,atm,4979.96,-360.96
59,4444,1632,2025-06-25,completed,5896.0,atm,4979.96,916.04
60,17579,419,2025-08-11,completed,14393.0,atm,4979.96,9413.04
61,13162,1419,2025-12-24,completed,2437.0,atm,4979.96,-2542.96
62,4439,229,2024-09-21,completed,3340.3,atm,4979.96,-1639.66
63,8788,994,2025-04-10,completed,8870.8,atm,4979.96,3890.84
64,17586,653,2024-04-30,completed,2204.0,atm,4979.96,-2775.96
65,4470,321,2025-10-17,completed,12652.15,atm,4979.96,7672.19
66,4569,1894,2024-06-30,completed,6661.8,atm,4979.96,1681.84
67,4471,727,2025-01-28,completed,6227.0,atm,4979.96,1247.04
68,4477,226,2025-04-23,completed,2471.4,atm,4979.96,-2508.56
69,4504,2352,2024-05-03,completed,6819.9,atm,4979.96,1839.94
70,4502,257,2025-06-27,completed,2562.4,atm,4979.96,-2417.56
71,17536,1592,2025-03-10,completed,1931.35,atm,4979.96,-3048.61
72,8757,913,2025-12-27,completed,3850.0,atm,4979.96,-1129.96
73,13185,625,2025-05-25,completed,3368.7,atm,4979.96,-1611.26
74,8760,880,2024-11-02,completed,18404.7,atm,4979.96,13424.74
75,13184,2138,2024-01-30,completed,12604.1,atm,4979.96,7624.14
76,4491,1838,2025-12-12,completed,851.7,atm,4979.96,-4128.26
77,17546,797,2025-06-05,completed,1337.9,atm,4979.96,-3642.06
78,17547,1245,2025-10-12,completed,1507.65,atm,4979.96,-3472.31
79,8765,1579,2025-08-13,completed,1760.0,atm,4979.96,-3219.96
80,13179,1313,2025-12-03,completed,2320.0,atm,4979.96,-2659.96
81,13178,1122,2024-05-24,completed,1663.45,atm,4979.96,-3316.51
82,8768,85,2024-11-18,completed,16362.6,atm,4979.96,11382.64
83,4482,343,2024-09-25,completed,2523.2,atm,4979.96,-2456.76
84,13177,1630,2024-09-25,completed,4352.8,atm,4979.96,-627.16
85,4480,1817,2024-08-21,completed,884.45,atm,4979.96,-4095.51
86,4479,420,2025-12-20,completed,2746.0,atm,4979.96,-2233.96
87,4478,1114,2024-05-03,completed,6974.0,atm,4979.96,1994.04
88,17557,1306,2024-03-01,completed,837.9,atm,4979.96,-4142.06
89,4436,2318,2024-06-20,completed,7426.0,atm,4979.96,2446.04
90,4570,1493,2024-11-03,completed,1421.1,atm,4979.96,-3558.86
91,17470,2226,2025-10-16,completed,4755.9,atm,4979.96,-224.06
92,17361,1271,2024-07-24,completed,884.45,atm,4979.96,-4095.51
93,17362,1070,2025-08-29,completed,3966.25,atm,4979.96,-1013.71
94,17363,375,2024-09-29,completed,10756.55,atm,4979.96,5776.59
95,17364,1085,2025-02-04,completed,6210.1,atm,4979.96,1230.14
96,17365,919,2025-11-12,completed,14773.2,atm,4979.96,9793.24
97,17366,90,2024-11-05,completed,6103.0,atm,4979.96,1123.04
98,13283,1963,2025-08-11,completed,1193.4,atm,4979.96,-3786.56
99,13282,1460,2025-02-12,completed,11822.5,atm,4979.96,6842.54
100,17360,1901,2024-09-17,completed,23831.65,atm,4979.96,18851.69
101,17373,667,2025-04-05,completed,11508.8,atm,4979.96,6528.84
102,8670,1896,2024-03-03,completed,12984.8,atm,4979.96,8004.84
103,17377,2355,2024-02-07,completed,3148.0,atm,4979.96,-1831.96
104,8672,72,2024-03-25,completed,5503.2,atm,4979.96,523.24
105,4656,1838,2024-10-16,completed,11025.55,atm,4979.96,6045.59
106,4655,1065,2025-07-31,completed,4492.55,atm,4979.96,-487.41
107,17381,1203,2025-09-07,completed,17393.35,atm,4979.96,12413.39
108,17383,1016,2024-09-25,completed,6458.85,atm,4979.96,1478.89
109,17385,1680,2024-07-14,completed,2923.8,atm,4979.96,-2056.16
110,13281,380,2024-08-07,completed,4075.0,atm,4979.96,-904.96
111,17357,2431,2025-08-22,completed,1574.0,atm,4979.96,-3405.96
112,13286,1455,2024-12-06,completed,1791.0,atm,4979.96,-3188.96
113,4680,1691,2024-10-23,completed,9341.7,atm,4979.96,4361.74
114,4711,2237,2025-09-26,completed,2916.0,atm,4979.96,-2063.96
115,4708,1291,2025-08-20,completed,2123.25,atm,4979.96,-2856.71
116,8653,924,2024-01-09,completed,4729.0,atm,4979.96,-250.96
117,17315,1576,2024-09-19,completed,13362.3,atm,4979.96,8382.34
118,17316,1755,2024-01-08,completed,5662.8,atm,4979.96,682.84
119,17318,1096,2024-09-23,completed,6195.35,atm,4979.96,1215.39
120,17319,1444,2025-01-24,completed,1760.0,atm,4979.96,-3219.96
121,4699,828,2025-02-10,completed,4075.0,atm,4979.96,-904.96
122,17326,1150,2025-08-12,completed,6764.0,atm,4979.96,1784.04
123,13292,531,2024-07-07,completed,1791.0,atm,4979.96,-3188.96
124,4693,1779,2025-04-10,completed,3202.6,atm,4979.96,-1777.36
125,8660,1,2024-10-25,completed,2812.5,atm,4979.96,-2167.46
126,4691,1584,2025-05-18,completed,5944.0,atm,4979.96,964.04
127,17340,1290,2025-09-06,completed,14636.0,atm,4979.96,9656.04
128,4689,635,2025-06-20,completed,3125.0,atm,4979.96,-1854.96
129,13291,514,2024-10-25,completed,8485.55,atm,4979.96,3505.59
130,8664,1757,2024-02-17,completed,5021.0,atm,4979.96,41.04
131,17351,594,2024-09-14,completed,1423.1,atm,4979.96,-3556.86
132,17353,1727,2024-07-29,completed,2320.0,atm,4979.96,-2659.96
133,17387,183,2024-04-11,completed,6482.2,atm,4979.96,1502.24
134,17390,1594,2024-03-24,completed,2960.05,atm,4979.96,-2019.91
135,13277,880,2024-11-15,completed,3000.1,atm,4979.96,-1979.86
136,8675,2419,2025-02-06,completed,16599.4,atm,4979.96,11619.44
137,4610,1011,2025-03-14,completed,135.0,atm,4979.96,-4844.96
138,4609,1859,2025-04-02,completed,935.55,atm,4979.96,-4044.41
139,8701,522,2024-11-10,completed,9801.1,atm,4979.96,4821.14
140,17435,1195,2025-03-31,completed,15091.0,atm,4979.96,10111.04
141,13242,746,2024-05-12,completed,5619.6,atm,4979.96,639.64
142,17440,1083,2025-05-17,completed,2273.0,atm,4979.96,-2706.96
143,17441,2399,2024-05-03,completed,633.65,atm,4979.96,-4346.31
144,17445,430,2024-12-01,completed,3640.85,atm,4979.96,-1339.11
145,13236,1618,2025-04-10,completed,10192.0,atm,4979.96,5212.04
146,4596,294,2024-11-15,completed,9666.95,atm,4979.96,4686.99
147,13234,1300,2025-08-02,completed,8851.7,atm,4979.96,3871.74
148,4593,492,2025-03-13,completed,1786.5,atm,4979.96,-3193.46
149,8710,859,2025-01-25,completed,3116.0,atm,4979.96,-1863.96
150,17453,772,2024-04-05,completed,2257.6,atm,4979.96,-2722.36
151,17456,652,2025-05-07,completed,3156.05,atm,4979.96,-1823.91
152,8716,1927,2025-08-02,completed,5005.0,atm,4979.96,25.04
153,13226,1342,2024-01-22,completed,16694.0,atm,4979.96,11714.04
154,17465,2252,2025-11-11,completed,2674.8,atm,4979.96,-2305.16
155,4575,901,2025-03-07,completed,4044.1,atm,4979.96,-935.86
156,4611,2141,2024-03-16,completed,4756.0,atm,4979.96,-223.96
157,4571,1267,2025-02-23,completed,20814.8,atm,4979.96,15834.84
158,4612,1948,2024-05-29,completed,3899.0,atm,4979.96,-1080.96
159,13247,1484,2025-08-12,completed,7700.0,atm,4979.96,2720.04
160,4646,1183,2024-12-24,completed,567.0,atm,4979.96,-4412.96
161,13272,2067,2024-07-13,completed,1337.9,atm,4979.96,-3642.06
162,13271,2272,2025-01-05,completed,6073.65,atm,4979.96,1093.69
163,13270,1283,2025-11-18,completed,2099.6,atm,4979.96,-2880.36
164,13269,1729,2024-12-30,completed,10920.85,atm,4979.96,5940.89
165,4638,686,2025-12-21,completed,4752.0,atm,4979.96,-227.96
166,13266,234,2024-04-04,completed,6691.0,atm,4979.96,1711.04
167,13265,87,2024-11-28,completed,1377.9,atm,4979.96,-3602.06
168,17406,40,2024-03-04,completed,884.45,atm,4979.96,-4095.51
169,4633,1554,2024-09-29,completed,4455.6,atm,4979.96,-524.36
170,13262,45,2024-06-08,completed,6265.5,atm,4979.96,1285.54
171,17408,348,2024-10-18,completed,552.0,atm,4979.96,-4427.96
172,8688,428,2025-07-01,completed,4397.05,atm,4979.96,-582.91
173,4627,737,2024-08-09,completed,9504.0,atm,4979.96,4524.04
174,4625,1987,2025-06-17,completed,14182.8,atm,4979.96,9202.84
175,17414,1624,2024-08-08,completed,4446.8,atm,4979.96,-533.16
176,8693,2199,2025-01-23,completed,884.45,atm,4979.96,-4095.51
177,17420,2097,2024-08-23,completed,4791.55,atm,4979.96,-188.41
178,17422,415,2024-08-09,completed,3026.0,atm,4979.96,-1953.96
179,17425,235,2024-12-29,completed,3203.0,atm,4979.96,-1776.96
180,4712,2455,2025-04-21,completed,1574.0,atm,4979.96,-3405.96
181,17587,1405,2024-08-24,completed,8567.8,atm,4979.96,3587.84
182,8789,1835,2025-03-05,completed,2746.0,atm,4979.96,-2233.96
183,17750,372,2024-02-20,completed,3777.0,atm,4979.96,-1202.96
184,4269,1616,2024-04-05,completed,4186.65,atm,4979.96,-793.31
185,17751,2117,2025-06-30,completed,4936.55,atm,4979.96,-43.41
