,order_id,customer_id,product_id,order_date,quantity,unit_price,discount_rate,line_revenue
0,2976,2428,45,2024-04-01,3,4975,0.0,14925.0
1,10782,61,45,2025-04-11,3,4975,0.0,14925.0
2,16712,110,45,2024-11-13,3,4975,0.0,14925.0
3,11462,1176,45,2024-03-19,3,4975,0.0,14925.0
4,9291,1005,45,2024-06-14,3,4975,0.0,14925.0
5,340,1882,45,2024-03-01,3,4975,0.0,14925.0
6,11706,1798,26,2025-12-14,3,4752,0.0,14256.0
7,6687,1589,26,2024-09-02,3,4752,0.0,14256.0
8,1941,2471,26,2025-01-03,3,4752,0.0,14256.0
9,10723,1157,26,2025-06-17,3,4752,0.0,14256.0
10,3781,1712,26,2024-10-01,3,4752,0.0,14256.0
11,1498,2127,26,2024-05-18,3,4752,0.0,14256.0
12,8055,830,30,2024-01-18,3,4729,0.0,14187.0
13,6980,871,30,2025-09-13,3,4729,0.0,14187.0
14,2499,235,30,2025-07-23,3,4729,0.0,14187.0
15,15207,541,30,2024-07-04,3,4729,0.0,14187.0
16,2282,1124,30,2024-03-15,3,4729,0.0,14187.0
17,12528,194,45,2024-09-25,3,4975,0.05,14178.75
18,7977,2229,45,2025-11-26,3,4975,0.05,14178.75
19,3905,741,45,2025-07-18,3,4975,0.05,14178.75
20,12443,422,45,2025-08-06,3,4975,0.05,14178.75
21,18019,2346,9,2025-06-06,3,4658,0.0,13974.0
22,14553,1038,9,2024-07-26,3,4658,0.0,13974.0
23,4894,1092,9,2025-08-12,3,4658,0.0,13974.0
24,1493,1461,9,2024-10-24,3,4658,0.0,13974.0
25,16239,350,9,2024-07-17,3,4658,0.0,13974.0
26,17360,1901,9,2024-09-17,3,4658,0.0,13974.0
27,9479,1090,9,2024-03-07,3,4658,0.0,13974.0
28,6182,1863,9,2024-04-08,3,4658,0.0,13974.0
29,17344,2109,9,2024-09-18,3,4658,0.0,13974.0
30,3163,1598,12,2025-09-11,3,4627,0.0,13881.0
31,5210,48,12,2024-07-29,3,4627,0.0,13881.0
32,18106,2013,12,2025-12-28,3,4627,0.0,13881.0
33,17865,68,12,2024-08-17,3,4627,0.0,13881.0
34,12410,542,12,2024-02-28,3,4627,0.0,13881.0
35,21628,920,12,2025-04-13,3,4627,0.0,13881.0
36,21732,262,55,2024-02-17,3,4572,0.0,13716.0
37,19046,1464,55,2024-11-10,3,4572,0.0,13716.0
38,12209,437,26,2025-09-23,3,4752,0.05,13543.2
39,20146,2491,30,2024-02-28,3,4729,0.05,13477.65
40,17821,99,45,2025-01-05,3,4975,0.1,13432.5
41,10555,2022,45,2025-07-15,3,4975,0.1,13432.5
42,697,388,45,2024-02-26,3,4975,0.1,13432.5
43,1488,952,9,2024-10-19,3,4658,0.05,13275.3
44,19101,1750,9,2024-09-11,3,4658,0.05,13275.3
45,6624,1998,9,2025-08-09,3,4658,0.05,13275.3
46,4869,80,9,2024-12-05,3,4658,0.05,13275.3
47,750,1790,9,2024-11-28,3,4658,0.05,13275.3
48,1712,171,9,2025-04-09,3,4658,0.05,13275.3
49,11884,503,9,2024-02-19,3,4658,0.05,13275.3
50,9015,1211,9,2024-07-29,3,4658,0.05,13275.3
51,7134,30,9,2024-05-22,3,4658,0.05,13275.3
52,7467,1892,12,2025-11-26,3,4627,0.05,13186.95
53,1484,1965,12,2024-06-06,3,4627,0.05,13186.95
54,13064,2101,12,2025-11-22,3,4627,0.05,13186.95
55,11317,421,12,2025-11-20,3,4627,0.05,13186.95
56,1400,2196,12,2024-05-25,3,4627,0.05,13186.95
57,6849,798,55,2024-04-12,3,4572,0.05,13030.2
58,19391,1503,55,2024-01-03,3,4572,0.05,13030.2
59,6317,41,55,2025-07-04,3,4572,0.05,13030.2
60,892,2369,55,2025-11-12,3,4572,0.05,13030.2
61,1817,1781,55,2025-05-24,3,4572,0.05,13030.2
62,1474,132,55,2024-04-29,3,4572,0.05,13030.2
63,17822,2182,55,2024-04-08,3,4572,0.05,13030.2
64,7992,369,55,2024-06-30,3,4572,0.05,13030.2
65,17401,1172,43,2025-05-25,3,4289,0.0,12867.0
66,12792,526,43,2025-05-25,3,4289,0.0,12867.0
67,16540,138,43,2024-03-31,3,4289,0.0,12867.0
68,6395,1659,43,2025-05-29,3,4289,0.0,12867.0
69,9338,1537,43,2025-04-10,3,4289,0.0,12867.0
70,5432,1700,26,2024-11-11,3,4752,0.1,12830.4
71,18877,1441,26,2024-07-14,3,4752,0.1,12830.4
72,6720,2273,26,2024-12-13,3,4752,0.1,12830.4
73,13104,1489,26,2025-05-20,3,4752,0.1,12830.4
74,12578,848,26,2025-12-13,3,4752,0.1,12830.4
75,264,286,26,2024-11-09,3,4752,0.1,12830.4
76,13443,305,26,2024-04-29,3,4752,0.1,12830.4
77,20952,207,30,2024-08-23,3,4729,0.1,12768.3
78,10908,2298,30,2024-08-31,3,4729,0.1,12768.3
79,5326,1618,30,2024-09-22,3,4729,0.1,12768.3
80,9768,1743,30,2024-07-02,3,4729,0.1,12768.3
81,21992,2461,30,2024-01-14,3,4729,0.1,12768.3
82,20698,191,9,2024-03-20,3,4658,0.1,12576.6
83,21601,2455,9,2024-02-12,3,4658,0.1,12576.6
84,9462,2459,9,2024-10-14,3,4658,0.1,12576.6
85,20926,1439,9,2024-12-22,3,4658,0.1,12576.6
86,10258,1153,9,2025-07-30,3,4658,0.1,12576.6
87,16943,750,9,2025-01-01,3,4658,0.1,12576.6
88,6553,181,9,2024-09-10,3,4658,0.1,12576.6
89,4136,128,9,2024-10-07,3,4658,0.1,12576.6
90,505,2383,33,2025-04-03,3,4175,0.0,12525.0
91,14189,1477,33,2025-09-06,3,4175,0.0,12525.0
92,18654,107,33,2024-01-27,3,4175,0.0,12525.0
93,19288,2116,33,2025-07-27,3,4175,0.0,12525.0
94,13872,1325,33,2024-11-01,3,4175,0.0,12525.0
